class,name,old_tag,old_resref,new_tag,new_resref
A,Bracers of the Dwarven Protector,BracersoftheDwarvenProtector,020,BracersoftheDwarvenProtector2,020
A,Bracers of the Dwarven Protector,BracersoftheDwarvenProtector,022,BracersoftheDwarvenProtector2,022
A,Branch of Rivendell,BranchofRivendell,branchofriven001,BranchofRivendell2,branchofriven001
A,Cat O' Nine Tails,CatONineTails,item005,CatONineTails2,item005
A,NPC garb *weak,celebornsgarb,celebornsgarb001,celebornsgarb2,celebornsgarb001
A,Skin of Gondor,celebornsgarb,celebornsgarb002,celebornsgarb3,celebornsgarb002
A,NPC garb **weaker,celebornsgarb,celebornsgarb003,celebornsgarb4,celebornsgarb003
A,Chainmail +4,Chainmail4,chainmail004,ChainMail42,chainmail004
A,Chain Shirt +4,ChainShirt4,chainshirt004,Chainshirt42,chainshirt004
A,Chupas Armor,CheftansArmor,cheftansarmor001,CheftansArmor2,cheftansarmor001
A,Pet Rock,chosenfist,chosenfist001,chosenfist2,chosenfist001
A,Claw of the Mega SPider,ClawoftheMegaSPider,clawofthemega002,ClawoftheMegaSPider2,clawofthemega002
A,Cloak of Darkness,CloakofDarkness,cloakofdarkne002,CloakofDarkness2,cloakofdarkne002
A,Cloak of Orc,CloakOfFortification5,009,CloakOfFortification52,009
A,Cloak of the Orc,CloakOfFortification5,053,CloakOfFortification53,053
A,Cloak of Fortification +5,CloakofFortification5,cloakoffortifica,CloakOfFortification54,cloakoffortifica
A,Cloak of the Reaper,CloakoftheReaper,cloakofthebea001,CloakoftheReaper2,cloakofthebea001
A,Crown of Gondor,CrownofGondor,crownofgondor002,CrownofGondor2,crownofgondor002
A,Crown of Thorns,CrownofGondor,crownofgondor003,CrownofGondor3,crownofgondor003
A,Crown of Weathertop,CrownofWeathertop,crownofweathe001,CrownofWeathertop2,crownofweathe001
A,Crown of Weathertop,CrownofWeathertop,crownofweathe004,CrownofWeathertop3,crownofweathe004
A,Cursed Guantlets,CursedGuantlets,cursedguantle002,CursedGuantlets2,cursedguantle002
A,Cursed Ones Helm,CursedOnesHelm,cursedoneshel002,CursedOnesHelm2,cursedoneshel002
A,Cursed Plate,CursedPlate,cursedplate002,CursedPlate2,cursedplate002
A,Dagger of Venom,DaggerofVenom,daggerofvenom002,DaggerofVenom2,daggerofvenom002
A,Darkshot,Darkshot,darkshot001,Darkshot2,darkshot001
A,Dark Stone Hammer,DarkStoneHammer,darkstonehamm002,DarkStoneHammer2,darkstonehamm002
A,Dawn Star,DawnStar,dawnstar002,DawnStar2,dawnstar002
A,Deadly Whisper,DeadlyWhisper,deadlywhisper001,DeadlyWhisper2,deadlywhisper001
A,Devil's Advocate,DevilsAdvocate,item026,DevilsAdvocate2,item026
A,DragonSlayer,DragonSlayer,dragonslayer002,Dragonslayer2,dragonslayer002
A,Acidic Arrows Of The Sewers,DrowArrowsOfSlaying,113,DrowArrowsOfSlaying2,113
A,Dwarven Battle Field Armor,DwarvenBattleFieldArmor,dwarvenbattlefie,DwarvenBattleFieldArmor2,dwarvenbattlefie
A,Elven Chainmail +2,ElvenChainmail2,elvenchainmai002,ElvenChainmail22,elvenchainmai002
A,Elven Chainmail +2,ElvenChainmail2,elvenchainmai003,ElvenChainmail22,elvenchainmai003
A,Elven Leather +2,ElvenLeather2,elvenleather002,ElvenLeather22,elvenleather002
A,Greater Gondorian Plate,EpicGondorianPlate,gondorianplat001,EpicGondorianPlate2,gondorianplat001
A,Fey'Ri/Half-Chaos DragonSkin,FeyRihalfdragonSkin,feyriskin001,FeyRihalfdragonSkin2,feyriskin001
A,Frostbite,Frostbite,frostbite001,FrostBite2,frostbite001
A,Plate of the Dwarven Cleric,FullPlate4,fullplate005,FullPlate42,fullplate005
A,Galadhrim Monk Helm ,GaladhrimHelm,galadhrimhelm001,GaladhrimHelm2,galadhrimhelm001
A,Galadhrim Sorcers Helm,GaladhrimHelm,galadhrimhelm002,GaladhrimHelm3,galadhrimhelm002
A,Galadhrim Fighter Helm ,GaladhrimHelm,galadhrimhelm003,GaladhrimHelm4,galadhrimhelm003
A,Galadhrim Fighter Plate,Galadhrimrobes,galadhrimrobe001,Galadhrimrobes2,galadhrimrobe001
A,Galadhrim Monk Robes,Galadhrimrobes,galadhrimrobe002,Galadhrimrobes3,galadhrimrobe002
A,Galadhrim Sorcers Belt,GaladhrimWizardsBelt,galadhrimwiza001,GaladhrimWizardsBelt2,galadhrimwiza001
A,Gandalf's Robe,gandalfsrobe,carapiceofshello,gandalfsrobe2,carapiceofshello
A,Bastard Sword of Denethor,glamdring,glamhring,glamdring2,glamhring
A,Glamdring,glamhring3ObisSword,item060,glamhring3ObisSword2,item060
A,Gandalf's Glamhring II,glamhring3ObisSword,item081,glamhring3ObisSword3,item081
A,Melting Arrow,GreaterAcidArrow,greateracidar001,GreaterAcidArrow2,greateracidar001
A,Greater Ice Arrows,GreaterFireArrows,greaterfirear001,GreaterFireArrows2,greaterfirear001
A,Greater Cold Arrows,GreaterFireArrows,greaterfirear002,GreaterFireArrows3,greaterfirear002
A,Greater Shock Arrows,GreaterFireArrows,greaterfirear003,GreaterFireArrows4,greaterfirear003
A,Greater Electrical Arrow,GreaterFireArrows,greaterfirear004,GreaterFireArrows5,greaterfirear004
A,Greater Piercing Arrow,GreaterFireArrows,greaterfirear005,GreaterFireArrows6,greaterfirear005
A,Greater Needle Arrow,GreaterFireArrows,greaterfirear006,GreaterFireArrows7,greaterfirear006
A,Greater Slashing Arrow,GreaterFireArrows,greaterfirear007,GreaterFireArrows8,greaterfirear007
A,Greater Slicing Arrow,GreaterFireArrows,greaterfirear008,GreaterFireArrows9,greaterfirear008
A,Greater Sonic Arrow,GreaterFireArrows,greaterfirear009,GreaterFireArrows10,greaterfirear009
A,Greater Banshee Arrow,GreaterFireArrows,greaterfirear010,GreaterFireArrows11,greaterfirear010
A,Greater Gondorian Helm,GreaterGondorianHelm,gondorianhelm001,GreaterGondorianHelm2,gondorianhelm001
A,Greater Ring of Power,GreaterRingofPower,greaterringof002,GreaterRingofPower2,greaterringof002
A,Greater Ring of Power,GreaterRingofPower,greaterringofpow,GreaterRingofPower3,greaterringofpow
A,Greater Scarab Protector,GreaterScarabProtector,greaterscarab002,GreaterScarabProtector2,greaterscarab002
A,Greater Scarab Protector,GreaterScarabProtector,greaterscarab003,GreaterScarabProtector3,greaterscarab003
A,Scarab Defender,GreaterScarabProtector,greaterscarabpro,GreaterScarabProtector4,greaterscarabpro
A,Great Shield of Rivendell,GreatShieldofRivendell,greatshieldof001,GreatShieldofRivendell2,greatshieldof001
A,Gwathdor Helmet,GwathdorHelmet,gwathdorhelme002,GwathdorHelmet2,gwathdorhelme002
A,Gwathdor Watcher Robe,GwathdorWatcherRobe,gwathdorwatcherr,GwathdorWatcherRobe2,gwathdorwatcherr
A,Gwathdor Wizard Robe,GwathWizardRobe,gwatwizrobe002,GwathWizardRobe2,gwatwizrobe002
A,Halberd of the Rohir,Halberd4,halberd005,Halberd42,halberd005
A,Hammer of the Gods,HammeroftheGods,hammerofthego001,HammeroftheGods2,hammerofthego001
A,Hand of Many,HandOfMany,050,HandOfMany2,050
A,Helm of the Orc Brute,HelmoftheOrcBrute,helmoftheorcbrut,HelmoftheOrcBrute2,helmoftheorcbrut
A,Helm of the Ridermark,HelmoftheRidermark,helmoftheride001,HelmoftheRidermark2,helmoftheride001
A,Helm of Adunaphel,HelmoftheWitchKing,helmofthewitc001,HelmoftheWitchKing2,helmofthewitc001
A,Greater Lava Imp Boots,ImpBoots,impboots001,ImpBoots2,impboots001
A,Slug Arrow,InfernoArrows,infernoarrows001,InfernoArrows2,infernoarrows001
A,Thudshot Arrow,InfernoArrows,infernoarrows002,InfernoArrows3,infernoarrows002
A,Arctic Arrow,InfernoArrows,infernoarrows003,InfernoArrows4,infernoarrows003
A,Freezing Arrow,InfernoArrows,infernoarrows004,InfernoArrows5,infernoarrows004
A,Defribulator Arrow,InfernoArrows,infernoarrows005,InfernoArrows6,infernoarrows005
A,Lightning Arrow,InfernoArrows,infernoarrows006,InfernoArrows7,infernoarrows006
A,Railshot Arrow,InfernoArrows,infernoarrows007,InfernoArrows8,infernoarrows007
A,Harpoon Arrow,InfernoArrows,infernoarrows008,InfernoArrows9,infernoarrows008
A,Scalpel Arrow,InfernoArrows,infernoarrows009,InfernoArrows10,infernoarrows009
A,Razor Tipped Arrow,InfernoArrows,infernoarrows010,InfernoArrows11,infernoarrows010
A,Screamer Arrow,InfernoArrows,infernoarrows011,InfernoArrows12,infernoarrows011
A,Intercession *epic*,Intercessionepic,ls_intercessi002,IntercessionEPIC2,ls_intercessi002
A,Isaac's Ring,IsaacsRing,item041,IsaacsRing2,item041
A,Mordor Archer Bow,item080ret,item111,item080ret2,item111
A,Katana of the Dark Kings,KatanaofKings,katanaofkings001,KatanaofKings2,katanaofkings001
A,Mindmelter of the Mummylord,KukrioftheMummylord,kukriofthemummyl,KukrioftheMummylord2,kukriofthemummyl
A,Leg of Shelob,LegofShelob,legofshelob002,LegofShelob2,legofshelob002
A,Helm of the Battle Lord,lesserhelmofb002,lesserhelmofb003,lesserhelmofb0022,lesserhelmofb003
A,Master's Robe of the Stone Hand,lesserrobeoft003,lesserrobeoft004,lesserrobeoft0032,lesserrobeoft004
A,Minor Robe of no color,LesserRobeOrderless,lesserrobe13o001,LesserRobeOrderless2,lesserrobe13o001
A,Robe of no color,LesserRobeOrderless,lesserrobe13o002,LesserRobeOrderless3,lesserrobe13o002
A,Greater Robe of no color,LesserRobeOrderless,lesserrobe13o003,LesserRobeOrderless4,lesserrobe13o003
A,Lesser Robe of no color,LesserRobeOrderless,lesserrobe13orde,LesserRobeOrderless5,lesserrobe13orde
A,Minor Red Robe,LesserRobeOrderofBlood,lesserrobeord001,LesserRobeOrderofBlood2,lesserrobeord001
A,Red Robe,LesserRobeOrderofBlood,lesserrobeord002,LesserRobeOrderofBlood3,lesserrobeord002
A,Greater Red Robe,LesserRobeOrderofBlood,lesserrobeord003,LesserRobeOrderofBlood4,lesserrobeord003
A,Lesser Red Robe,LesserRobeOrderofBlood,lesserrobeordero,LesserRobeOrderofBlood5,lesserrobeordero
A,Black Robe,LesserRobeOrderofChaos,lesserrobe8or001,LesserRobeOrderofChaos2,lesserrobe8or001
A,Minor Black Robe,LesserRobeOrderofChaos,lesserrobe8or002,LesserRobeOrderofChaos3,lesserrobe8or002
A,Greater Black Robe,LesserRobeOrderofChaos,lesserrobe8or003,LesserRobeOrderofChaos4,lesserrobe8or003
A,Lesser Black Robe,LesserRobeOrderofChaos,lesserrobe8order,LesserRobeOrderofChaos5,lesserrobe8order
A,Minor Cyan Robe,LesserRobeOrderofEmerald,lesserrobe10o001,LesserRobeOrderofEmerald2,lesserrobe10o001
A,Cyan Robe,LesserRobeOrderofEmerald,lesserrobe10o002,LesserRobeOrderofEmerald3,lesserrobe10o002
A,Greater Cyan Robe,LesserRobeOrderofEmerald,lesserrobe10o003,LesserRobeOrderofEmerald4,lesserrobe10o003
A,Lesser Cyan Robe,LesserRobeOrderofEmerald,lesserrobe10orde,LesserRobeOrderofEmerald5,lesserrobe10orde
A,Minor Orange Robe,LesserRobeOrderofFire,lesserrobe9or001,LesserRobeOrderofFire2,lesserrobe9or001
A,Orange Robe,LesserRobeOrderofFire,lesserrobe9or002,LesserRobeOrderofFire3,lesserrobe9or002
A,Greater Orange Robe,LesserRobeOrderofFire,lesserrobe9or003,LesserRobeOrderofFire4,lesserrobe9or003
A,Lesser Orange Robe,LesserRobeOrderofFire,lesserrobe9order,LesserRobeOrderofFire5,lesserrobe9order
A,Minor Gold Robe,LesserRobeOrderofGold,lesserrobe6or001,LesserRobeOrderofGold2,lesserrobe6or001
A,Gold Robe,LesserRobeOrderofGold,lesserrobe6or002,LesserRobeOrderofGold3,lesserrobe6or002
A,Greater Gold Robe,LesserRobeOrderofGold,lesserrobe6or003,LesserRobeOrderofGold4,lesserrobe6or003
A,Lesser Gold Robe,LesserRobeOrderofGold,lesserrobe6order,LesserRobeOrderofGold5,lesserrobe6order
A,Minor Blue Robe,LesserRobeOrderofIce,lesserrobe5or001,LesserRobeOrderofIce2,lesserrobe5or001
A,Blue Robe,LesserRobeOrderofIce,lesserrobe5or002,LesserRobeOrderofIce3,lesserrobe5or002
A,Greater Blue Robe,LesserRobeOrderofIce,lesserrobe5or003,LesserRobeOrderofIce4,lesserrobe5or003
A,Lesser Blue Robe,LesserRobeOrderofIce,lesserrobe5order,LesserRobeOrderofIce5,lesserrobe5order
A,Lesser Green Robe,LesserRobeOrderofJade,lesserrobe4or001,LesserRobeOrderofJade2,lesserrobe4or001
A,Green Robe,LesserRobeOrderofJade,lesserrobe4or002,LesserRobeOrderofJade3,lesserrobe4or002
A,Greater Green Robe,LesserRobeOrderofJade,lesserrobe4or003,LesserRobeOrderofJade4,lesserrobe4or003
A,Lesser Green Robe,LesserRobeOrderofJade,lesserrobe4order,LesserRobeOrderofJade2,lesserrobe4order
A,Minor Grey Robe,LesserRobeOrderofKnowledge,lesserrobe2or001,LesserRobeOrderofKnowledge2,lesserrobe2or001
A,Grey Robe,LesserRobeOrderofKnowledge,lesserrobe2or002,LesserRobeOrderofKnowledge3,lesserrobe2or002
A,Greater Grey Robe,LesserRobeOrderofKnowledge,lesserrobe2or003,LesserRobeOrderofKnowledge4,lesserrobe2or003
A,Lesser Grey Robe,LesserRobeOrderofKnowledge,lesserrobe2order,LesserRobeOrderofKnowledge5,lesserrobe2order
A,Minor Aqua Robe,LesserRobeOrderofOceans,lesserrobe11o001,LesserRobeOrderofOceans2,lesserrobe11o001
A,Aqua Robe,LesserRobeOrderofOceans,lesserrobe11o002,LesserRobeOrderofOceans3,lesserrobe11o002
A,Greater Aqua Robe,LesserRobeOrderofOceans,lesserrobe11o003,LesserRobeOrderofOceans4,lesserrobe11o003
A,Lesser Aqua Robe,LesserRobeOrderofOceans,lesserrobe11orde,LesserRobeOrderofOceans5,lesserrobe11orde
A,Minor Brown Robe,LesserRobeOrderofPain,lesserrobe3or001,LesserRobeOrderofPain2,lesserrobe3or001
A,Brown Robe,LesserRobeOrderofPain,lesserrobe3or002,LesserRobeOrderofPain3,lesserrobe3or002
A,Greater Brown Robe,LesserRobeOrderofPain,lesserrobe3or003,LesserRobeOrderofPain4,lesserrobe3or003
A,Lesser Brown Robe,LesserRobeOrderofPain,lesserrobe3order,LesserRobeOrderofPain5,lesserrobe3order
A,Minor Yellow Robe,LesserRobeOrderofSuns,lesserrobe12o001,LesserRobeOrderofSuns2,lesserrobe12o001
A,Yellow Robe,LesserRobeOrderofSuns,lesserrobe12o002,LesserRobeOrderofSuns3,lesserrobe12o002
A,Greater Yellow Robe,LesserRobeOrderofSuns,lesserrobe12o003,LesserRobeOrderofSuns4,lesserrobe12o003
A,Lesser Yellow Robe,LesserRobeOrderofSuns,lesserrobe12orde,LesserRobeOrderofSuns5,lesserrobe12orde
A,Minor White Robe,LesserRobeOrderofTruth,lesserrobe7or001,LesserRobeOrderofTruth2,lesserrobe7or001
A,White Robe,LesserRobeOrderofTruth,lesserrobe7or002,LesserRobeOrderofTruth3,lesserrobe7or002
A,Greater White Robe,LesserRobeOrderofTruth,lesserrobe7or003,LesserRobeOrderofTruth4,lesserrobe7or003
A,Lesser White Robe,LesserRobeOrderofTruth,lesserrobe7order,LesserRobeOrderofTruth5,lesserrobe7order
A,Orcen Ring,LightstreamRing,129,LightstreamRing2,129
A,Lorien Garb,LorienGarb,loriengarb003,LorienGarb2,loriengarb003
A,Masterwork BattleAxe,MasterBAxe,mbaxe,MasterBAxe2,mbaxe
A,Mesh of Eryn Lasgalen,MeshofErynLasgalen,meshoferynlas002,MeshofErynLasgalen2,meshoferynlas002
A,Mordor Bowman Armor,MordorBowmanArmor,mordorbowmana001,MordorBowmanArmor2,mordorbowmana001
A,Mordor Orc Tower Shield,MordorOrcTowerShield,mordororctowersh,MordorOrcTowerShield2,mordororctowersh
A,Nightsmoke,Nightsmoke,nightsmoke002,Nightsmoke2,nightsmoke002
A,Nightsmoke,Nightsmoke,nightsmoke003,Nightsmoke2,nightsmoke003
A,NPC Buff Gear **,NPCBuffGear,npcbuffgear002,NPCBuffGear2,npcbuffgear002
A,Balrog Buff Gear,NPCBuffGear,npcbuffgear003,NPCBuffGear3,npcbuffgear003
A,Skin of Gloin,NPCBuffGear,npcbuffgear009,NPCBuffGear4,npcbuffgear009
A,Skin of Denth,NPCBuffGear,npcbuffgear014,NPCBuffGear5,npcbuffgear014
A,DolGur Buff Gear **,NPCBuffGear2223,npcbuffgear006,NPCBuffGear22232,npcbuffgear006
A,armhe008,NW_ARMHE007,armhe008,NW_ARMHE0072,armhe008
A,Circlet of Flame,NW_ARMHE010,armhe011,NW_ARMHE0102,armhe011
A,Shield of the Unholy,NW_ASHMLW003,ashmlw004,NW_ASHMLW0032,ashmlw004
A,ashmlw005,NW_ASHMLW003,ashmlw005,NW_ASHMLW0033,ashmlw005
A,Drow Level 20 Properties,NW_IT_CREITEM059,it_creitem006,NW_IT_CREITEM0592,it_creitem006
A,Drow Level 20 Properties,NW_IT_CREITEM059,it_creitem007,NW_IT_CREITEM0592,it_creitem007
A,Drow Level 20 Properties,NW_IT_CREITEM059,it_creitem008,NW_IT_CREITEM0592,it_creitem008
A,Drow Level 40 Properties,NW_IT_CREITEM059,it_creitem014,NW_IT_CREITEM0593,it_creitem014
A,Witch King Properties,NW_IT_CREITEMDRB,it_creitemdrb001,NW_IT_CREITEMDRB2,it_creitemdrb001
A,it_creitemdrb002,NW_IT_CREITEMDRB,it_creitemdrb002,NW_IT_CREITEMDRB3,it_creitemdrb002
A,Weathertop Undead Properties,NW_IT_CREITEMUNH,034,NW_IT_CREITEMUNH2,034
A,it_creitem009,NW_IT_CREITEMUNH,it_creitem009,NW_IT_CREITEMUNH3,it_creitem009
A,it_creitem010,NW_IT_CREITEMUNH,it_creitem010,NW_IT_CREITEMUNH4,it_creitem010
A,it_creitem011,NW_IT_CREITEMUNH,it_creitem011,NW_IT_CREITEMUNH3,it_creitem011
A,Undead Properties Blunt prop,NW_IT_CREITEMUNH,it_creitem012,NW_IT_CREITEMUNH5,it_creitem012
A,Undead Properties Greater Blunt prop,NW_IT_CREITEMUNH,it_creitem015,NW_IT_CREITEMUNH6,it_creitem015
A,Dunharrow Undead Properties,NW_IT_CREITEMUNH,it_creitemunh001,NW_IT_CREITEMUNH7,it_creitemunh001
A,lostsoul Undead Properties,NW_IT_CREITEMUNH,it_creitemunh002,NW_IT_CREITEMUNH8,it_creitemunh002
A,Dunharrow Undead Properties,NW_IT_CREITEMUNH,it_creitemunh003,NW_IT_CREITEMUNH9,it_creitemunh003
A,Balor Lord Sword,NW_IT_CREWBS001,it_crewbs002,NW_IT_CREWBS0012,it_crewbs002
A,Master Sword of the Balrog,NW_IT_CREWBS001,it_crewbs004,NW_IT_CREWBS0013,it_crewbs004
A,Claw1d2 / 2d10 acid,NW_IT_CREWPSP001,it_crewpsp002,NW_IT_CREWPSP0012,it_crewpsp002
A,Claw1d2 / 2d10 acid Giant Spider,NW_IT_CREWPSP001,it_crewpsp003,NW_IT_CREWPSP0013,it_crewpsp003
A,it_crewpsp013,NW_IT_CREWPSP001,it_crewpsp013,NW_IT_CREWPSP0014,it_crewpsp013
A,pissed claw,NW_IT_CREWPSP015,it_crewpsp023,NW_IT_CREWPSP0152,it_crewpsp023
A,it_crewpsp018,NW_IT_CREWPSP027,it_crewpsp018,NW_IT_CREWPSP0272,it_crewpsp018
A,Witch King Claw2d8,NW_IT_CREWPSP027,it_crewpsp019,NW_IT_CREWPSP0273,it_crewpsp019
A,Belt of Frost Giant Strength,NW_IT_MBELT007,it_mbelt008,NW_IT_MBELT0072,it_mbelt008
A,it_mbelt024,NW_IT_MBELT007,it_mbelt024,NW_IT_MBELT0073,it_mbelt024
A,Dragon Slippers,NW_IT_MBOOTS003,dragonslips,NW_IT_MBOOTS0032,dragonslips
A,Gloves of the Stone Heart,nw_it_mglove010,glovstoneheart,nw_it_mglove0102,glovstoneheart
A,it_mring008,NW_IT_MRING004,it_mring008,NW_IT_MRING0042,it_mring008
A,Ring of Regeneration +4,NW_IT_MRING004,it_mring036,NW_IT_MRING0042,it_mring036
A,Ring of Regeneration +7,NW_IT_MRING004,it_mring039,NW_IT_MRING0043,it_mring039
A,Ring of Regeneration +7,NW_IT_MRING004,it_mring041,NW_IT_MRING0043,it_mring041
A,Ring of Regeneration +10,NW_IT_MRING004,it_mring042,NW_IT_MRING0044,it_mring042
A,Belt of Inertial Barrier,NW_ITEM_000,it_mbelt023,NW_ITEM_0002,it_mbelt023
A,Tigran Claw,NW_ITEM_000,tigranclaw,NW_ITEM_0003,tigranclaw
A,maarcl019,NW_MAARCL018,maarcl019,NW_MAARCL0182,maarcl019
A,Elrond's Battle Armor,NW_MAARCL022,maarcl024,NW_MAARCL0222,maarcl024
A,Glorfindel's Battle Armor,NW_MAARCL022,maarcl025,NW_MAARCL0223,maarcl025
A,Plate of the Elven Captain,NW_MAARCL022,maarcl026,NW_MAARCL0224,maarcl026
A,Ancient Elven Armor,NW_MAARCL022,maarcl027,NW_MAARCL0225,maarcl027
A,Chainmail of Speed,NW_MAARCL039,maarcl040,NW_MAARCL0392,maarcl040
A,Carrok Plate,NW_MAARCL068,maarcl069,NW_MAARCL0682,maarcl069
A,Grand Carrok Plate,NW_MAARCL068,maarcl070,NW_MAARCL0683,maarcl070
A,Stormblood Armor,NW_MAARCL080,maarcl108,NW_MAARCL0802,maarcl108
A,Black Robe of the Archmagi,NW_MCLOTH004,mcloth024,NW_MCLOTH0042,mcloth024
A,Robe of the Disciple,NW_MCLOTH004,mcloth025,NW_MCLOTH0043,mcloth025
A,Golden Scale of the Dragon,NW_MCLOTH011,mcloth012,NW_MCLOTH0112,mcloth012
A,Tracker Arrow,NW_WAMMAR003,wammar004,NW_WAMMAR0032,wammar004
A,Lesser Acid Arrow,NW_WAMMAR003,wammar005,NW_WAMMAR0033,wammar005
A,Superb Acid Arrow,NW_WAMMAR003,wammar008,NW_WAMMAR0034,wammar008
A,Acidic Arrow,NW_WAMMAR003,wammar009,NW_WAMMAR0035,wammar009
A,Superb Acidic Arrow,NW_WAMMAR003,wammar010,NW_WAMMAR0036,wammar010
A,Lesser Blunt Arrow,NW_WAMMAR003,wammar011,NW_WAMMAR0037,wammar011
A,Lesser Ice Arrow,NW_WAMMAR003,wammar012,NW_WAMMAR0038,wammar012
A,Lesser Shock Arrow,NW_WAMMAR003,wammar013,NW_WAMMAR0039,wammar013
A,Lesser Piercing Arrow,NW_WAMMAR003,wammar014,NW_WAMMAR00310,wammar014
A,Lesser Slashing Arrow,NW_WAMMAR003,wammar015,NW_WAMMAR00311,wammar015
A,Lesser Sonic Arrow,NW_WAMMAR003,wammar016,NW_WAMMAR00312,wammar016
A,Lesser Dulled Arrow,NW_WAMMAR003,wammar017,NW_WAMMAR00313,wammar017
A,Lesser Cold Arrow,NW_WAMMAR003,wammar018,NW_WAMMAR00314,wammar018
A,Lesser Needle Arrow,NW_WAMMAR003,wammar019,NW_WAMMAR00315,wammar019
A,Lesser Electrical Arrow,NW_WAMMAR003,wammar020,NW_WAMMAR00316,wammar020
A,Lesser Slicing Arrow,NW_WAMMAR003,wammar021,NW_WAMMAR00317,wammar021
A,Lesser Banshee Arrow,NW_WAMMAR003,wammar022,NW_WAMMAR00318,wammar022
A,Acid Arrow,NW_WAMMAR003,wammar023,NW_WAMMAR00319,wammar023
A,Banshee Arrow,NW_WAMMAR003,wammar026,NW_WAMMAR00320,wammar026
A,Blunt Arrow,NW_WAMMAR003,wammar030,NW_WAMMAR00321,wammar030
A,Dulled Arrow,NW_WAMMAR003,wammar031,NW_WAMMAR00322,wammar031
A,Superb Blunt Arrow,NW_WAMMAR003,wammar035,NW_WAMMAR00323,wammar035
A,Superb Ice Arrow,NW_WAMMAR003,wammar036,NW_WAMMAR00324,wammar036
A,Superb Shock Arrow,NW_WAMMAR003,wammar037,NW_WAMMAR00325,wammar037
A,Legolas's Piercing Arrow,NW_WAMMAR003,wammar038,NW_WAMMAR00326,wammar038
A,Superb Slashing Arrow,NW_WAMMAR003,wammar039,NW_WAMMAR00327,wammar039
A,Superb Sonic Arrow,NW_WAMMAR003,wammar040,NW_WAMMAR00328,wammar040
A,Superb Banshee Arrow,NW_WAMMAR003,wammar041,NW_WAMMAR00329,wammar041
A,Superb Slicing Arrow,NW_WAMMAR003,wammar042,NW_WAMMAR00330,wammar042
A,Superb Electrical Arrow,NW_WAMMAR003,wammar043,NW_WAMMAR00331,wammar043
A,Superb Dulled Arrow,NW_WAMMAR003,wammar044,NW_WAMMAR00332,wammar044
A,Superb Needle Arrow,NW_WAMMAR003,wammar045,NW_WAMMAR00333,wammar045
A,Superb Cold Arrow,NW_WAMMAR003,wammar046,NW_WAMMAR00334,wammar046
A,Superb Acidic Arrow,NW_WAMMAR003,wammar049,NW_WAMMAR0036,wammar049
A,Mordor Slayers,NW_WAMMAR003fwewepic,wammar055,NW_WAMMAR003fwewepic2,wammar055
A,Ice Arrow,NW_WAMMAR005,wammar024,NW_WAMMAR0052,wammar024
