resref,name,base_item,enh_current,ab_current,relation,keep,value
thebladeofthe002,the blade of the dead,53,6,10,AB>ENH,enhancement,8
thebladeofthe003,the blade of the dead,53,6,10,AB>ENH,enhancement,8
thebladeofthedea,the blade of the dead,53,6,10,AB>ENH,enhancement,8
thegnasher,The Gnasher,38,7,10,AB>ENH,enhancement,14
tournamaentlongs,Tournament Longsword,1,10,16,AB>ENH,enhancement,14
tournamentbattle,Tournament BattleAxe,2,10,16,AB>ENH,enhancement,14
tournamentclub,Tournament Club,28,10,16,AB>ENH,enhancement,14
tournamentdagger,Tournament Dagger,22,10,16,AB>ENH,enhancement,14
tournamentgreata,Tournament Greataxe,18,10,16,AB>ENH,enhancement,15
tournamenthal001,Greater Halberd,10,10,20,AB>ENH,enhancement,15
tournamentkuk001,Tournament Kukri,42,10,16,AB>ENH,enhancement,14
tournamentmace,Tournament Mace,9,10,16,AB>ENH,enhancement,14
tournamentmornin,Tournament Morningstar,47,10,16,AB>ENH,enhancement,14
tournamentscimit,Tournament Scimitar,53,10,16,AB>ENH,enhancement,14
tournamentscythe,Tournament Scythe,55,10,16,AB>ENH,enhancement,14
tournamentshorts,Tournament Short Sword,0,10,16,AB>ENH,enhancement,15
tournamentwarham,Tournament Warhammer,5,10,16,AB>ENH,enhancement,15
vampirictouch,Vampiric Touch,71,10,20,AB>ENH,enhancement,15
warhammerofth003,War Hammer of the Stout {EPIC},5,15,20,AB>ENH,enhancement,17
wblmml008,Greater Tempest,9,5,14,AB>ENH,enhancement,9
wiltedstaff002,Wilted Staff {EPIC},45,18,20,AB>ENH,enhancement,19
wraithsfist,Wraiths Warriors Fist,71,15,20,AB>ENH,enhancement,17
wspmka005,Kama of the Apprentice {EPIC},40,16,20,AB>ENH,enhancement,18
wswmdg004,Legolas's Courtesan Blade,22,10,13,AB>ENH,enhancement,11
wswmgs007,Harbinger Kin +8 [Mt Doom],13,8,20,AB>ENH,enhancement,14
wswmgs008,Shining Light of Rohosgobel,13,6,14,AB>ENH,enhancement,10
wswmrp006,The Sand Piper,51,10,20,AB>ENH,enhancement,15
wthmsh004,Somango,59,10,16,AB>ENH,enhancement,13
30,Sword of the Deep,1,12,6,AB<ENH,enhancement,12
35,Greatsword of Edoras,13,10,9,AB<ENH,enhancement,10
67,Claw of Smaug,40,13,13,AB=ENH,enhancement,13
68,The Tongue of Smaug,111,13,13,AB=ENH,enhancement,13
103,Frozen Beauty,10,10,10,AB=ENH,enhancement,10
104,Bone Escavator,302,10,10,AB=ENH,enhancement,10
105,Gold Glow,301,10,10,AB=ENH,enhancement,10
108,Gilded Blade ,1,9,9,AB=ENH,enhancement,9
114,Undead Kukri Boss Item,42,20,20,AB=ENH,enhancement,20
127,Axe of the Orc General,108,11,11,AB=ENH,enhancement,11
137,Greater Blade of the Dol Guldur Captain,320,11,11,AB=ENH,enhancement,11
147,Blade of the Personal Guard ,1,9,9,AB=ENH,enhancement,9
151,The Sword of Hatred,1,10,10,AB=ENH,enhancement,10
152,Dark Hand's Wrath,42,10,10,AB=ENH,enhancement,10
arangerdefender,A Ranger Defender,1,5,5,AB=ENH,enhancement,5
armofadam,Arm of Adam,28,8,4,AB<ENH,enhancement,8
avenger002,Avenger,13,15,15,AB=ENH,enhancement,15
axeofthebrute001,Axe of the Gate,18,10,4,AB<ENH,enhancement,10
axeofthereckleso,Axe of the Reckles Orc,38,5,5,AB=ENH,enhancement,5
blackmist4,Blackmist ,10,12,6,AB<ENH,enhancement,12
bladeofthedancer,Blade of the Dancer,0,7,6,AB<ENH,enhancement,7
brokenbranch,Broken Branch,28,3,3,AB=ENH,enhancement,3
celestialfury,Celestial Fury,41,10,10,AB=ENH,enhancement,10
chosenfist,chosen fist,70,20,20,AB=ENH,enhancement,20
chosenfist001,Pet Rock,70,20,20,AB=ENH,enhancement,20
chosenfist002,hobbit ,70,20,20,AB=ENH,enhancement,20
daggerofthest001,Dagger of the Stars ,22,4,4,AB=ENH,enhancement,4
daggerofvenom002,Dagger of Venom,22,6,3,AB<ENH,enhancement,6
darkstonehamm002,Dark Stone Hammer,5,10,9,AB<ENH,enhancement,10
deadlywhisper,Deadly Whisper,51,12,6,AB<ENH,enhancement,12
deathspade,Deathspade,38,8,5,AB<ENH,enhancement,8
decayerofdoom,Decayer of Doom,13,10,8,AB<ENH,enhancement,10
decayerofdoom001,Decayer of Doom{EPIC},13,20,20,AB=ENH,enhancement,20
devstatingcla001,Devstating Claw 2,72,20,20,AB=ENH,enhancement,20
dgr_backbiter,Backbiter,22,10,8,AB<ENH,enhancement,10
doombringer,Doombringer,18,15,15,AB=ENH,enhancement,15
doombringer001,Doombringer {EPIC},18,20,20,AB=ENH,enhancement,20
easterlingfury,Easterling Fury,18,7,6,AB<ENH,enhancement,7
eliteorcgreataxe,Elite Orc Greataxe,18,10,10,AB=ENH,enhancement,10
epicdragonknib,Epic Dragon Knight Bite,70,20,20,AB=ENH,enhancement,20
frostbite,Frost Bite,42,16,7,AB<ENH,enhancement,16
glamhring,Bastard Sword of Denethor,3,13,13,AB=ENH,enhancement,13
glamhring2,Flame of the West ,3,13,13,AB=ENH,enhancement,13
golemslammer,Golemslammer,71,5,5,AB=ENH,enhancement,5
gondorianlong003,Wart's Blade,1,12,8,AB<ENH,enhancement,12
graceofithilien,Grace of Ithilien,53,7,7,AB=ENH,enhancement,7
greatswordofgond,Greatsword of Gondor,13,9,9,AB=ENH,enhancement,9
grond,Grond,9,13,13,AB=ENH,enhancement,13
gwathdorshort001,Gwathdor Short Sword {EPIC},0,20,20,AB=ENH,enhancement,20
gwathdorshortswo,Gwathdor Short Sword,0,8,8,AB=ENH,enhancement,8
gwathdortride001,Gwathdor Trident {EPIC},300,20,20,AB=ENH,enhancement,20
gwathdortrident,Gwathdor Trident,300,8,8,AB=ENH,enhancement,8
halberd005,Halberd of the Rohir,10,5,4,AB<ENH,enhancement,5
halberd007,Halberd of the Elite Rohirrim,10,8,4,AB<ENH,enhancement,8
handofpaladine,Longsword of Elrond,1,14,14,AB=ENH,enhancement,14
headchopper,Head Chopper,10,12,6,AB<ENH,enhancement,12
headsplitter004,Drider Slasher {EPIC},13,20,20,AB=ENH,enhancement,20
headsplitter005,Drider Slasher,13,18,8,AB<ENH,enhancement,18
it_crewp_drac001,Mazguls Claw,72,20,20,AB=ENH,enhancement,20
it_crewpb009,Greater Warrior/Greater Mummy Slam,71,20,20,AB=ENH,enhancement,20
it_crewps066,Saruman's Greater Familiar Bite Level 40,69,20,20,AB=ENH,enhancement,20
it_crewpsp003,Claw1d2 / 2d10 acid Giant Spider,72,10,10,AB=ENH,enhancement,10
it_crewpsp022,Balrog's Battle Claw,72,20,20,AB=ENH,enhancement,20
it_crewpsp024,Homer Claw,72,20,1,AB<ENH,enhancement,20
it_crewpsp045,H2O Elmental Claw Level 40,72,20,20,AB=ENH,enhancement,20
it_crewpsp046,Frost Claw,72,20,20,AB=ENH,enhancement,20
it_crewpsp047,Flame Claw,72,20,20,AB=ENH,enhancement,20
item,Khamûl's Sword,1,10,3,AB<ENH,enhancement,10
item019,Viscera's Champion,60,8,4,AB<ENH,enhancement,8
item026,Devil's Advocate,22,11,9,AB<ENH,enhancement,11
item042,Durin's Axe,18,14,14,AB=ENH,enhancement,14
item044,Gimli's Waraxe,108,14,14,AB=ENH,enhancement,14
item055,The Prince's Blade,13,10,10,AB=ENH,enhancement,10
item057,Nazgul's Claw,1,10,7,AB<ENH,enhancement,10
item060,Glamdring,3,15,15,AB=ENH,enhancement,15
item061,Smash's Sword,12,20,20,AB=ENH,enhancement,20
item078,Gandalf's Epic Glamhring,3,20,20,AB=ENH,enhancement,20
item086,Shadow Lord's Blade,41,10,10,AB=ENH,enhancement,10
item103,Durin's Axe{EPIC},18,20,20,AB=ENH,enhancement,20
item104,Viscera's Champion{EPIC},60,20,20,AB=ENH,enhancement,20
item126,Witch King's Scythe,55,13,13,AB=ENH,enhancement,13
item127,Witch King's Scythe,55,13,13,AB=ENH,enhancement,13
jubmaghica,Gothmog's Meat Cleaver,55,12,12,AB=ENH,enhancement,12
jubmaghica001,The Meat Cleaver{EPIC},55,20,20,AB=ENH,enhancement,20
katanaofthegreat,Katana of the Great North,41,16,7,AB<ENH,enhancement,16
kerufallsfistsof,Kerufalls Fists of Fury,71,20,10,AB<ENH,enhancement,20
kukri051,Slice of Death,42,10,5,AB<ENH,enhancement,10
kukri052,Slice of Death{EPIC},42,16,16,AB=ENH,enhancement,16
longswordofthemo,Longsword of the Mordor Orc,1,5,5,AB=ENH,enhancement,5
ls_bladeofros002,Blade of Roses +6,1,6,6,AB=ENH,enhancement,6
ls_bladeofros003,Blade of Roses +6,1,6,6,AB=ENH,enhancement,6
ls_bladeofroses,Blade of Roses +6,1,6,6,AB=ENH,enhancement,6
maceofminas,Mace of Minas,312,8,8,AB=ENH,enhancement,8
maceofthedark001,Greater Mace of Morannon,9,15,15,AB=ENH,enhancement,15
maceofthedark003,Mace of a Drider Priestess,9,12,8,AB<ENH,enhancement,12
mightofminas,Might of Minas,35,12,12,AB=ENH,enhancement,12
orcscoutblade,Blade of the Orc Scout ,53,5,5,AB=ENH,enhancement,5
rapierofangmar,Rapier of Angmar,51,13,13,AB=ENH,enhancement,13
rapierofthegh,Rapier of the Ghaladrim,51,10,3,AB<ENH,enhancement,10
scimitarofthequi,Scimitar of the Quick,53,14,7,AB<ENH,enhancement,14
serpentsstaff,Serpents Staff,50,10,10,AB=ENH,enhancement,10
skullsplitter,Skull Splitter,40,10,5,AB<ENH,enhancement,10
sting,Sting,0,14,10,AB<ENH,enhancement,14
summanusclaw,summanus claw,70,20,20,AB=ENH,enhancement,20
swordofceleborn,Sword of Celeborn,1,8,8,AB=ENH,enhancement,8
swordoflifest002,Sword of Life Stealing,1,5,5,AB=ENH,enhancement,5
swordofthewitchk,Sword of The Witch King,1,13,13,AB=ENH,enhancement,13
twinkle,Twinkle,53,6,6,AB=ENH,enhancement,6
warhammerofth001,Warhammer of the Life Sapper,5,6,4,AB<ENH,enhancement,6
warhammerofthest,War Hammer of the Stout,5,13,13,AB=ENH,enhancement,13
waxmbt009,Axe of the Battle Dwarf,2,7,7,AB=ENH,enhancement,7
wblmml005,Mace of Doom,9,7,7,AB=ENH,enhancement,7
wblmml009,Tempest of Fifur,9,8,6,AB<ENH,enhancement,8
whitejitte,White Jitte,303,6,6,AB=ENH,enhancement,6
wspmka008,Numarok's Kama,40,5,5,AB=ENH,enhancement,5
wswmdg007,91257,22,5,5,AB=ENH,enhancement,5
wswmgs009,Shining Light of Rohosgobel {EPIC},13,20,20,AB=ENH,enhancement,20
wswmls007,Glorfindel's Longsword,1,11,11,AB=ENH,enhancement,11
wswmls008,91275,1,10,5,AB<ENH,enhancement,10
wswmls013,14360,1,3,3,AB=ENH,enhancement,3
wswmrp005,Elven Rapier ,51,10,6,AB<ENH,enhancement,10
wswmrp007,Elven Rapier {EPIC} ,51,20,20,AB=ENH,enhancement,20
wswmrp008,Shadow Rapier ,51,10,10,AB=ENH,enhancement,10
badbrains,Bad Brains,111,6,10,AB>ENH,enhancement,8
badbrains002,Bad Brains,111,2,18,AB>ENH,enhancement,12
bastardoftheh001,Bastard of the Hobbit {EPIC},0,18,20,AB>ENH,enhancement,19
bastardofthehobb,Bastard of the Hobbit,0,10,12,AB>ENH,enhancement,12
bastardswordofth,Bastard Sword of the Fallen Hero,3,5,10,AB>ENH,enhancement,9
darkdirk,Dark Dirk,22,8,15,AB>ENH,enhancement,13
darkdirk001,Dark Dirk{EPIC},22,14,20,AB>ENH,enhancement,18
falsehope,False Hope,53,9,19,AB>ENH,enhancement,17
flailofwar,Flail of War,35,5,17,AB>ENH,enhancement,15
gnasher,Gnasher,313,10,18,AB>ENH,enhancement,16
gs_psionsblade,Psion's Blade,13,10,16,AB>ENH,enhancement,15
item027,Thuringwethil's Edge,53,7,20,AB>ENH,enhancement,16
item091,Samwise's Wish,28,10,14,AB>ENH,enhancement,13
kukriofthemum001,Mindmelt of the Mummylord [EPIC],313,8,20,AB>ENH,enhancement,17
mindmelter001,Mindmelter *epic*,42,13,20,AB>ENH,enhancement,18
spearofdistany,Spear of Destiny,58,10,20,AB>ENH,enhancement,15
swordoftheshi001,Epic Sword of the Shieldmaiden,1,10,20,AB>ENH,enhancement,15
swordoftheste001,Sword of The Stewards {EPIC},1,18,20,AB>ENH,enhancement,19
swordofthewit001,Sword of The Witch King {EPIC},1,15,20,AB>ENH,enhancement,17
tournamentgreats,Tournament Greatsword,13,10,16,AB>ENH,enhancement,15
tournamenthalber,Tournament Halberd,10,10,16,AB>ENH,enhancement,15
tournamentkama,Tournament Kama,40,10,16,AB>ENH,enhancement,14
tournamentkukri,Kukri 2,313,10,20,AB>ENH,enhancement,14
tournamentmaugdo,Tournament Maug DoubleSword,324,10,20,AB>ENH,enhancement,14
warhammerofeog,War Hammer of Eog,5,5,15,AB>ENH,enhancement,15
142,Orc Smasher,318,13,13,AB=ENH,enhancement,13
badbrains001,Bad Brains {EPIC},111,20,20,AB=ENH,enhancement,20
basherofthemutan,Basher of the Mutant,28,15,4,AB<ENH,enhancement,15
bladeofithilien,Blade of Ithilien,0,8,3,AB<ENH,enhancement,8
chosenkama,Chosen Kama,40,13,13,AB=ENH,enhancement,13
dawnstar002,Dawn Star,3,10,6,AB<ENH,enhancement,10
greataxeofakulat,Greataxe of Akulatraxas,18,10,3,AB<ENH,enhancement,10
item015,Sauron's Lash {EPIC},111,20,20,AB=ENH,enhancement,20
item017,Sauron's Smite,28,8,3,AB<ENH,enhancement,8
item022,Sauron's Lash,111,10,6,AB<ENH,enhancement,10
item023,Sauron's Smite,28,6,6,AB=ENH,enhancement,6
item031,Cat O' Nine Tails,35,10,7,AB<ENH,enhancement,10
item066,Arwen's Katana,41,12,12,AB=ENH,enhancement,12
item082,*Super Kama*,40,20,20,AB=ENH,enhancement,20
item099,Thuringwethil's Edge{EPIC},53,20,20,AB=ENH,enhancement,20
katanaofdolguldu,Katana of Dol Guldur,41,13,13,AB=ENH,enhancement,13
katanaofthenoble,Katana of the Noble,41,10,7,AB<ENH,enhancement,10
kukriofthegateco,Kukri of the Gate Commander,42,6,6,AB=ENH,enhancement,6
kukriofthemummyl,Mindmelter of the Mummylord,313,4,3,AB<ENH,enhancement,4
kukriofthereckle,Kukri of the Reckles Orc,313,6,6,AB=ENH,enhancement,6
legofshelob002,Leg of Shelob,50,5,4,AB<ENH,enhancement,5
maceofdwarffoe,Mace of Dwarf Foe,9,10,9,AB<ENH,enhancement,10
mindmelter,Mindmelter,42,13,13,AB=ENH,enhancement,13
mountdoomdecayer,Mount Doom Decayer,55,13,7,AB<ENH,enhancement,13
rapierofglorfind,Rapier of Glorfindel,51,11,11,AB=ENH,enhancement,11
rohirrimlongswor,Rohirrim Longsword of the Elite,1,7,7,AB=ENH,enhancement,7
shadowsmash,Shadow Smash,5,10,8,AB<ENH,enhancement,10
spearofdistan001,Spear of Destiny{EPIC},58,20,20,AB=ENH,enhancement,20
thegutter,The Gutter,0,8,8,AB=ENH,enhancement,8
